"Month","Portland Oregon average monthly bus ridership (/100) January 1973 through June 1982, n=114"
"1960-01",648
"1960-02",646
"1960-03",639
"1960-04",654
"1960-05",630
"1960-06",622
"1960-07",617
"1960-08",613
"1960-09",661
"1960-10",695
"1960-11",690
"1960-12",707
"1961-01",817
"1961-02",839
"1961-03",810
"1961-04",789
"1961-05",760
"1961-06",724
"1961-07",704
"1961-08",691
"1961-09",745
"1961-10",803
"1961-11",780
"1961-12",761
"1962-01",857
"1962-02",907
"1962-03",873
"1962-04",910
"1962-05",900
"1962-06",880
"1962-07",867
"1962-08",854
"1962-09",928
"1962-10",1064
"1962-11",1103
"1962-12",1026
"1963-01",1102
"1963-02",1080
"1963-03",1034
"1963-04",1083
"1963-05",1078
"1963-06",1020
"1963-07",984
"1963-08",952
"1963-09",1033
"1963-10",1114
"1963-11",1160
"1963-12",1058
"1964-01",1209
"1964-02",1200
"1964-03",1130
"1964-04",1182
"1964-05",1152
"1964-06",1116
"1964-07",1098
"1964-08",1044
"1964-09",1142
"1964-10",1222
"1964-11",1234
"1964-12",1155
"1965-01",1286
"1965-02",1281
"1965-03",1224
"1965-04",1280
"1965-05",1228
"1965-06",1181
"1965-07",1156
"1965-08",1124
"1965-09",1152
"1965-10",1205
"1965-11",1260
"1965-12",1188
"1966-01",1212
"1966-02",1269
"1966-03",1246
"1966-04",1299
"1966-05",1284
"1966-06",1345
"1966-07",1341
"1966-08",1308
"1966-09",1448
"1966-10",1454
"1966-11",1467
"1966-12",1431
"1967-01",1510
"1967-02",1558
"1967-03",1536
"1967-04",1523
"1967-05",1492
"1967-06",1437
"1967-07",1365
"1967-08",1310
"1967-09",1441
"1967-10",1450
"1967-11",1424
"1967-12",1360
"1968-01",1429
"1968-02",1440
"1968-03",1414
"1968-04",1424
"1968-05",1408
"1968-06",1337
"1968-07",1258
"1968-08",1214
"1968-09",1326
"1968-10",1417
"1968-11",1417
"1968-12",1329
"1969-01",1461
"1969-02",1425
"1969-03",1419
"1969-04",1432
"1969-05",1394
"1969-06",1327